playerR1  10:1    61:38
playerR2  67:1   125:38
playerR3 130:0   181:37
playerV1  10:46   61:83
playerV2  67:46  125:83
playerV3 130:45  181:82
playerB1  10:90   61:128
playerB2  67:90  125:128
playerB3 130:89  181:127
playerJ1  10:134  61:173
playerJ2  67:134 125:173
playerJ3 130:133 181:172
enemyB1    3:290  50:332
enemyB2   64:290 115:332
enemyB3  131:290 182:332
enemyB4  204:290 244:332
enemyB5  263:290 311:332
enemyC1    3:349  50:391
enemyC2   64:349 115:391
enemyC3  131:349 182:391
enemyC4  204:349 244:391
enemyC5  263:349 311:391
enemyD1    3:410  50:452
enemyD2   64:410 115:452
enemyD3  131:410 182:452
enemyD4  204:410 244:452
enemyD5  263:410 311:452
enemyE1    3:469  50:512
enemyE2   64:469 115:512
enemyE3  131:469 182:512
enemyE4  204:469 244:512
enemyE5  263:469 311:512
towerR   284:107 330:153
towerV   338:107 384:153
towerB   392:107 438:153
towerJ   446:107 492:153
asterM9  376:290 436:338
asterM8  388:339 438:387
asterM7  321:289 372:332
asterM6  321:339 367:382
asterM5  441:292 464:314
asterM4  474:292 498:314
asterM3  446:325 461:340
asterM2  478:326 494:340
asterM1  448:350 458:360
asterM0  481:351 490:360
asterB9  376:392 436:440
asterB8  387:446 437:494
asterB7  321:391 372:434
asterB6  321:442 367:483
asterB5  441:394 464:416
asterB4  474:394 498:416
asterB3  446:427 461:442
asterB2  478:428 494:442
asterB1  448:452 458:462
asterB0  481:453 490:462
shootV01 147:190 152:207
shootV04 135:190 142:207
shootV07 124:190 129:217
shootV10 110:190 117:217
shootV02  97:190 102:207
shootV05  86:190  93:207
shootV08  74:190  79:217
shootV11  60:190  67:217
shootV03  48:190  53:207
shootV06  35:190  42:207
shootV09  24:190  29:217
shootV12  10:190  17:217
shootR01 147:225 152:242
shootR04 135:225 142:242
shootR07 124:225 129:252
shootR10 110:225 117:252
shootR02  97:225 102:242
shootR05  86:225  93:242
shootR08  74:225  79:252
shootR11  60:225  67:252
shootR03  48:225  53:242
shootR06  35:225  42:242
shootR09  24:225  29:252
shootR12  10:225  17:252
shootB01 147:259 152:276
shootB04 135:259 142:276
shootB07 124:259 129:286
shootB10 110:259 117:286
shootB02  97:259 102:276
shootB05  86:259  93:276
shootB08  74:259  79:286
shootB11  60:259  67:286
shootB03  48:259  53:276
shootB06  35:259  42:276
shootB09  24:259  29:286
shootB12  10:259  17:286
bonusB1  296:0   312:15
bonusS1  296:23  312:39
bonusE1  300:49  310:65
bonusC1  296:73  312:90
bonusB2  316:0   332:15
bonusS2  316:23  332:39
bonusE2  320:49  330:65
bonusC2  316:73  332:90
bonusB3  336:0   352:15
bonusS3  336:23  352:39
bonusE3  340:49  350:65
bonusC3  336:73  352:90
vieR     360:1   372:12
vieV     360:19  372:30
vieB     360:37  372:48
vieJ     360:55  372:66
lifeR1   196:1   211:12
lifeR2   218:1   235:12
lifeR3   242:1   257:12
lifeV1   196:19  211:30
lifeV2   218:19  235:30
lifeV3   242:19  257:30
lifeB1   196:38  211:49
lifeB2   218:38  235:49
lifeB3   242:38  257:49
lifeJ1   196:57  211:68
lifeJ2   218:57  235:68
lifeJ3   242:57  257:68
boxRe    193:98  211:116
boxRs    193:118 211:136
boxRb    193:138 211:156
boxVe    213:98  231:116
boxVs    213:118 231:136
boxVb    213:138 231:156
boxBe    233:98  251:116
boxBs    233:118 251:136
boxBb    233:138 251:156
boxJe    253:98  271:116
boxJs    253:118 271:136
boxJb    253:138 271:156
nx       194:166 204:176
n0       211:166 222:176
n1       228:166 239:176
n2       245:166 256:176
n3       262:166 273:176
n4       279:166 290:176
n5       296:166 307:176
n6       313:166 324:176
n7       330:166 341:176
n8       347:166 358:176
n9       364:166 375:176
bgship   384:162 401:179
bgplus   408:164 422:177
bgpoint  433:164 447:177
bgstar   458:164 47:177
boss2    278:193 396:278
boss1    405:210 499:264
explo1   164:180 214:230
explo2   227:180 277:230
explo3   164:235 214:285
explo4   227:235 277:285
explo5   375:2   425:52
explo6   442:2   492:52
explo7   375:54  425:104
explo8   442:54  492:104
